user,CSS3,HTML,Googlemap,Memcached,name,Git,Cpp,jQueryUI,NumPy,Julia,SQL,Scala,HTMLDOM,Rust,Linux,JavaScript,Maven,Bootstrap3,MySQL,MongoDB,Python2x,MVC,FontAwesome,XPath,JSON,Eclipse,PostgreSQL,jQuery,Designpatterns,Nodejs,Chartjs,JSP,Java,Docker,W3C,XLink,Foundation,Echarts,XQuery,Highcharts,Kotlin,Pandas,C,Razor,ASP.NET,Scipy,XSLT,WebHosting,SQLite,AppML,Matplotlib,AngularJS,servlet,HTML5,ionic,DTD,PHP,Bootstrap4,SVG,XPointer,BrowserInformation,XSLFO,WebsiteBuilding,jQuery Mobile,Vue3,TCPIP,Redis,SOAP,Swift,algorithms,WebService,Perl,ASP,RDF,Svn,VBScript,XML,Vuejs,AJAX,WebPages,Django,TypeScript,C#,XMLDOM,Bootstrap5,Python,WebsiteQuality,Go,WSDL,CSS,XMLSchema,RSS,HTTP,R,WebForms,Markdown,Lua,AngularJS2,React,Ruby,jQueryEasyUI ,regular
user13,0,10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,0,10,0,0,0,10,10,10,10,10,0,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,0,10,10,10,0,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10
user14,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2,0,2,2,0,2,2,0,2,2,2,2,0,2,2,2,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2
user15,10,10,10,10,0,0,10,10,0,0,0,10,0,0,10,0,0,10,10,0,10,10,0,10,10,10,0,0,10,10,10,0,0,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,0,10,0,10,10,10,0,10,10,10,10,0,10,10,0,10,10,10,10,0,10,10,10,10
user16,8,8,8,0,8,0,8,0,8,8,0,8,8,8,8,8,0,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,0,0,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8,0,8
user17,8,8,8,0,8,8,8,0,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,0,0,0,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,8,8
user18,7,7,7,7,7,0,7,7,7,7,0,7,7,7,7,7,7,0,7,0,7,7,7,7,7,7,7,7,7,0,7,7,0,7,7,7,0,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,0,7,7,7,7,7,7,7,7,7,0,7,0,7,7,7,7,7,0,7,7,7,0,7,7,7,0,7,7,7,7,7,7,7,0,7,0,7,0,7,7,7,7,7,7,0,0,7,7,7
user19,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,0,2,2,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,0,0,0,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,2,2,0,2,2,2,0,2,2,0,2,2,2,2,2,2,0,2,2,0,2,2,2,2,2
user20,6,6,6,6,0,6,0,0,6,6,6,6,6,6,6,0,6,6,6,0,6,6,0,6,6,0,6,0,6,6,6,6,6,6,6,0,6,6,0,0,6,6,6,0,6,6,6,0,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,0,6,6,6,0,6,6,6,6,6,0,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,0,6,6,6,6,0
user21,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1
user22,0,8,8,8,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,0,8,8,8,8,8,8,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,0,8,0,8,8,0,8,8,8,0,0,8,8,8,8,8,0,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,8
user23,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1
user24,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
user25,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
user26,0,0,0,8,8,0,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,0,8,0,8,8,0,8,8,0,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,0,8,8,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,0,8,8,8,8,8,8,8,0,0,8,8,8,8
user27,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,10,0,10,10,0,10,0,10,10,10,10,0,0,0,10,0,0,10,0,10,10,10,0,10,10,10,10
user28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user30,5,5,0,5,0,5,5,5,5,5,0,5,0,5,0,5,5,5,5,5,5,0,5,5,0,5,0,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0,5,5,5,5,5,5,5,0,5,5,5,0,0,5,5,0,5,5,5,5,5,0,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,0,5
user31,6,0,6,6,6,6,6,6,6,6,6,0,6,6,6,0,6,0,6,6,6,6,6,6,6,6,6,6,6,6,0,0,6,0,0,0,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,0,6,6,0,6,6,6,0,6,6,0,6,6,0,0,0,0,6,6,6,6,0,6,6,0,6,6,6,6,6,6,6,6,6,6
user32,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7,0,7,7,7,0,7,7,7,7,7,7,0,0,7,7,0,7,7,0,0,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
user33,9,9,9,9,0,9,0,9,9,9,9,9,9,9,0,9,0,9,9,9,9,9,9,9,9,0,9,9,9,0,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,0,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,0,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,0,9,0,9,9,9,9,9,0
user34,10,0,10,0,10,0,0,0,10,10,0,10,0,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,0,10,10,0,10,0,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,0,0,10,10,10,10,10
user35,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
user36,7,7,7,7,7,0,7,7,7,7,0,7,7,0,7,7,7,7,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7,7,0,7,7,0,0,7,0,7,7,7,7,7,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7,7,0,0,7,7,7,7,0,0,7,7,7,7,0
user37,3,3,3,3,3,3,0,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,0,3,0,0,3,3,3,3,0,3,3,3,0,3,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,0,0,3,0,3,3,3,3,0,3,3,3,3,3,3,3,3,0,3,3,3,0,3,3,3,3,3,3,3,0,3,3,3,0,3,3,0,3,0
user38,10,10,10,10,10,10,10,0,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,0,10,0,10,10,10,10,10,0,10,0,10,0,10,10,0,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,0,10,10,0,0,10,10,10,10
user39,0,6,0,6,6,6,6,6,0,6,6,6,6,6,0,6,6,0,6,6,6,6,6,0,6,6,0,6,6,0,6,0,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,0,6,6,6,0,6,0,6,6,6,0,6,0,6,6,6,6,6,6,6,6,0,6,6,6,6,0,6,6,6,6,6,6,6,0,0,6,0,0,6,6,6,6
user40,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1
user41,9,9,9,0,9,9,9,9,0,0,9,9,9,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0,0,9,9,9,9,9,9,9,9,9,9,0,9,0,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,0,0,0,0,9,0,9,9,9,9,9,0,9,9,0,9,0,9,9,9,0,9,9,9,9,0,9,9,9,0,0,9
user42,10,0,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,0,10,0,10,10,0,10,10,10,0,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,0,0,10,10,10,10,10,0,10,10
user43,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,0,10,10,0,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,10,10,10,10,10,0,10,10,10,10,10,10,0
user44,0,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,0,3,0,3,3,3,3,3,0,3,3,3,0,3,3,3,3,3,3,3,3,3,0,3,3,0,3,3,3,3,3,3,3,0,0,3,3,0,0,3,3,0,3,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3,3,3,0,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0
user45,3,3,3,3,0,0,3,0,3,3,3,0,3,3,3,3,0,3,3,0,3,3,0,3,0,3,0,3,3,3,0,3,3,0,0,3,3,3,0,3,3,0,3,3,0,3,3,3,3,0,0,3,3,0,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,3,3,3,3,3,3,3,3,3,0,3,3,3
user46,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,0,0,2,2,2,2,2,2,2,2,2,2,0,0,2,0,0,2,2,2,2,0,0,2,2,2,0,0,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2
user47,8,8,0,0,8,8,8,8,8,8,8,8,0,8,8,8,8,0,8,0,8,8,8,8,8,8,8,0,0,8,8,8,0,8,0,8,8,8,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,0,8,0,8,8,0,0,0,8,8,8,8,8,0,8,8,8,8,8,8,0,8,8,8,0,8,0,8,0,8,8,8,8,8,8,0
user48,0,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,0,5,5,5,0,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0,5,5,0,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,0,5,5,5,0,5,5,5,0,5,5,5,5,5,5,0,5,5,0,5,5,5,5,5,0,5,5,0,5
user49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user50,4,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,0,4,0,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,0,0,0,4,4,4,4,0,0,0,4
user51,2,0,2,2,2,2,2,2,2,2,2,2,0,2,0,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,0,0,2,2,0,2,2,0,2,0,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,0,2,0,2,2,2,2,0,0,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0,2
user52,10,10,10,0,0,10,10,10,10,0,0,0,10,10,10,10,10,0,10,10,10,10,10,10,0,0,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,0,10,10,10,0,10,10,10,10,10,10,0,10,0,10,0,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,10,10,10,0,0,10,10,10,10,10,10,10,10
user53,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1
user54,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,0,9,0,0,9,9,9,0,9,9,9,0,9,9,9,9,9,0,9,9,9,9,9,9,0,0,9,9,0,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,0,9,9,9,0,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,0,9,0,9,0,9,9,9,0,9,9,0,0
user55,0,1,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
user56,8,8,8,8,8,0,0,8,8,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,0,8,0,8,8,0,8,8,8,0,8,8,8,8,8,0,8,8,8,0,8,8,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,0,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,8,8
user57,4,4,4,0,4,0,4,4,4,4,4,4,4,4,0,4,0,4,4,4,4,0,0,4,4,4,4,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,4,4,0,4,4,4,0,0,4,4,4,0,4,4,4,0,4,4,0,4,0,0,4,4,4,4,4,0,4,0,4,4,4,4,0,4,0,4,0,4,4,4,4,4,4,4,4,4,4,4,0,0,4
user58,0,9,0,9,9,9,9,0,9,0,0,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,0,9,9,0,9,9,9,9,0,0,9,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9,0,0,0,9,9,0,9,9,9,0,9,9,9,9,9,9,9,9,9,9,0,9,9,9,0,9,9,0,9,0,9,9,9,9,9,9,9,9,9,0,9
user59,6,6,6,6,6,0,6,0,6,6,6,6,6,0,6,6,6,0,6,6,6,6,6,6,6,6,0,6,0,6,0,6,6,0,0,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6,6,0,0,6,6,6,6,0,6
user60,5,5,5,5,5,5,5,0,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,0,5,0,5,0,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,0,5,0,5,5,5,0,5,5,5,0,5,5,0,0
user61,0,8,8,0,8,8,0,8,8,8,8,8,8,8,8,8,0,8,0,8,8,8,8,8,8,0,0,8,8,0,8,8,8,8,0,0,8,8,8,8,0,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,0,8,8,8,8,8,0,8,8,8,8,8,8,8,0,8,0,0,8,8,8,8,8,8,8,8,8,0,0,8,8,0,8,8,8,8
