user,JAVA,Python,C++,C#,PHP,JavaScript,Ruby,R,MATLAB,SQL,第八个嫌疑人,抖音,支付宝,微信,苹果手机,小米手机
user39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user40,3,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3
user41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user42,0,6,6,0,6,6,6,6,0,6,6,0,6,6,6,6
user43,10,10,10,0,10,0,10,10,10,10,10,0,10,10,10,10
user44,0,0,5,0,0,5,5,0,0,5,5,5,5,0,5,5
user45,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5
user46,7,7,0,7,7,0,7,7,0,7,7,7,7,7,7,0
user47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user48,2,2,2,2,0,2,2,0,2,2,2,2,2,2,2,2
user49,4,4,4,4,0,4,4,4,4,4,4,0,4,4,4,4
user50,7,7,0,7,7,7,0,7,7,7,7,7,7,7,0,7
user51,4,4,4,0,4,0,4,4,0,4,4,4,4,4,4,0
user52,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1
user53,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0
user54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user55,0,4,0,0,0,0,4,4,4,0,4,4,0,0,4,4
user56,9,0,9,9,9,9,0,0,9,9,9,9,9,9,9,9
user57,0,7,0,7,0,7,7,7,7,7,7,7,7,7,7,0
user58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user59,6,6,6,6,6,6,6,6,6,6,6,0,6,0,6,6
user60,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
user61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user62,3,3,3,0,3,3,0,3,3,3,0,0,3,3,3,0
user63,10,10,10,10,0,10,10,10,10,10,10,10,0,10,10,10
user64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user65,6,6,6,0,6,6,6,6,6,6,0,6,6,6,6,6
user66,0,3,0,0,3,0,3,3,3,3,3,0,0,3,3,3
user67,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7
user68,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
user69,10,10,10,10,10,0,0,10,10,10,0,10,10,10,10,10
user70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user72,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0
user73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user76,7,0,7,0,7,0,7,7,7,7,7,7,0,7,7,7
user77,3,3,3,0,3,0,0,3,3,0,3,3,3,0,3,3
user78,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4
user79,3,3,0,3,3,3,3,3,0,3,3,3,3,0,3,0
user80,0,10,10,10,10,0,0,10,0,10,0,10,0,0,10,10
user81,5,0,5,5,5,0,5,5,5,5,5,5,5,5,5,5
user82,3,3,3,3,3,3,3,3,3,0,0,0,3,0,3,3
user83,7,0,7,7,7,7,7,7,7,0,7,7,0,0,0,7
user84,7,7,7,7,7,0,0,7,7,7,7,7,7,0,7,7
user85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user86,0,0,3,3,3,3,3,3,0,3,3,3,3,3,3,3
user87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user88,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
user89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user91,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1
user92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user95,10,10,10,10,0,10,0,10,10,10,10,0,10,0,10,10
user96,6,6,6,6,6,6,6,0,0,6,6,6,0,6,6,6
user97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user98,6,6,0,6,6,0,6,6,6,6,6,6,0,6,6,0
user99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user102,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5
user103,0,7,7,7,7,0,7,7,7,7,7,7,7,7,7,7
user104,0,5,5,5,5,0,0,5,5,5,5,0,0,5,5,5
user105,8,8,8,8,8,8,0,8,0,8,8,8,8,8,0,8
user106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user107,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1
user108,0,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1
user109,5,5,5,5,5,5,0,5,5,0,5,0,5,0,5,5
user110,6,0,6,6,6,6,6,6,6,6,0,6,0,6,6,6
user111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user112,2,0,0,2,0,0,0,2,2,2,0,2,2,2,2,2
user113,0,1,1,1,1,0,0,1,0,0,1,1,1,0,1,0
user114,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1
user115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user116,3,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3
user117,4,4,4,4,4,4,4,0,4,0,4,0,4,4,4,4
user118,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
user119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user123,0,0,4,0,4,4,0,4,4,4,4,0,4,4,4,4
user124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user125,8,8,8,8,8,8,8,0,8,8,8,8,8,0,8,8
user126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user131,10,10,10,10,10,10,0,10,10,10,10,0,10,10,10,10
user132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user133,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
user134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user136,9,9,9,9,9,9,0,9,9,9,9,9,0,0,9,9
user137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user139,7,0,7,7,7,7,0,7,7,7,7,7,0,7,7,0
user140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user142,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
user143,0,8,8,8,8,8,8,8,0,0,8,8,0,8,0,8
user144,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,8
user145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user146,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
user147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user152,8,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8
user153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user155,0,8,8,0,8,8,8,8,0,8,8,8,8,8,8,8
user156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user157,3,3,0,3,3,0,0,3,3,0,3,3,0,3,3,0
user158,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
user159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user161,0,4,4,4,4,4,0,0,4,4,4,4,4,4,4,4
user162,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4
user163,3,3,3,3,3,3,0,3,0,3,3,0,3,3,0,3
user164,4,4,0,4,4,4,4,4,4,4,4,4,0,0,4,4
user165,0,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4
user166,0,0,0,4,4,4,0,4,4,0,4,4,4,4,4,0
user167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user169,7,7,0,0,7,0,0,0,7,7,7,7,7,0,7,0
user170,5,5,5,5,5,5,0,5,5,5,5,0,5,5,0,5
user171,0,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5
user172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user173,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0
user174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user176,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5
user177,4,4,0,4,4,4,4,4,4,4,4,4,4,0,0,4
user178,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,3
user179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user180,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
user181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user183,0,0,2,0,2,2,2,2,0,2,2,0,2,0,0,0
user184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user187,2,2,2,2,0,2,2,2,2,2,2,2,2,2,2,2
user188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user190,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4
user191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user192,10,10,10,10,10,10,10,10,10,0,10,10,10,0,10,10
user193,2,2,0,2,2,2,2,0,2,2,0,2,2,2,2,2
user194,3,3,3,0,0,3,3,3,3,0,0,0,3,3,3,0
user195,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6,6
user196,9,9,9,0,9,9,9,9,9,0,9,9,0,9,9,9
user197,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,7
user198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user199,4,4,4,4,0,0,4,4,4,0,4,4,4,0,4,4
user200,2,2,2,2,2,2,2,0,2,2,2,2,0,2,2,2
user201,8,0,8,0,8,8,8,8,8,8,8,8,8,0,8,8
user202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user204,5,5,5,5,5,5,0,5,5,5,0,5,0,5,5,5
user205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user208,8,8,8,0,8,8,0,8,0,0,8,8,8,8,8,0
user209,10,10,10,0,10,10,10,10,10,0,10,10,0,10,0,10
user210,8,8,8,0,8,0,8,8,8,8,8,8,8,8,8,0
user211,9,9,9,9,0,9,9,9,0,9,9,9,9,0,0,0
user212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user213,7,7,7,7,7,7,7,0,7,7,7,0,7,7,7,7
user214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user220,3,3,3,3,3,3,0,3,3,0,3,3,3,3,0,0
user221,10,10,0,10,10,10,0,10,0,10,10,10,0,0,10,0
user222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user223,6,0,6,6,6,6,6,0,6,6,0,6,6,0,0,6
user224,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
user225,9,9,9,9,9,9,9,9,9,9,9,9,9,0,9,0
user226,6,6,6,0,0,6,0,6,6,0,0,6,6,6,6,6
user227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user230,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
user231,0,3,3,3,3,0,3,3,0,0,0,0,0,0,3,3
user232,7,0,7,7,7,7,7,7,0,7,7,7,7,7,7,0
user233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user234,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10
user235,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2
user236,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0
user237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user240,5,5,5,5,0,5,5,5,5,5,0,5,5,5,5,0
user241,0,5,5,0,5,5,0,0,5,5,5,0,0,0,5,5
user242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user244,8,8,8,8,0,8,8,8,0,8,8,8,8,8,8,8
user245,3,0,3,3,3,3,3,3,3,3,3,0,3,3,3,3
user246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user247,8,8,8,8,8,8,0,8,0,8,8,0,8,8,8,8
user248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user252,10,10,10,10,10,10,10,10,10,10,10,10,10,0,10,10
user253,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9
user254,4,4,4,4,4,0,4,4,0,4,4,4,4,4,4,0
user255,0,10,0,10,10,10,10,10,10,10,10,0,10,10,0,10
user256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user258,4,4,4,0,0,4,4,4,0,4,4,4,4,4,4,0
user259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user262,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0
user263,8,8,0,8,8,8,0,8,8,8,0,0,8,8,8,8
user264,0,2,0,2,2,2,2,2,2,2,0,2,0,2,2,2
user265,10,10,10,10,10,10,10,10,10,10,10,0,10,10,0,10
user266,10,10,10,10,10,10,10,10,10,10,0,10,0,10,10,10
user267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user268,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
user269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user270,5,5,5,5,5,5,5,5,5,0,5,0,5,5,0,0
user271,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4
user272,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,3
user273,0,3,3,3,0,3,3,3,3,3,3,3,3,3,0,3
user274,9,9,0,9,9,0,0,0,9,9,9,9,9,9,9,9
user275,2,2,2,2,2,2,2,2,0,0,0,2,2,0,2,2
user276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user277,8,8,0,8,8,8,0,8,8,0,0,8,0,8,0,8
user278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user280,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9,9
user281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user283,0,2,0,2,2,2,2,2,2,2,2,2,0,2,2,2
user284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user285,0,8,8,0,8,0,8,0,0,0,8,8,8,0,8,8
user286,9,9,9,9,9,9,9,9,9,0,0,9,0,9,9,0
user287,8,8,8,8,8,0,8,8,8,8,8,8,8,8,8,8
user288,5,5,5,0,5,5,5,5,5,5,0,5,5,5,5,5
user289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user292,7,7,7,7,7,0,7,7,7,7,0,7,7,7,7,0
user293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user294,0,5,5,5,5,0,0,5,5,5,5,5,5,5,0,5
user295,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
user296,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5
user297,8,8,8,0,0,8,8,8,8,8,8,8,8,8,0,8
user298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user300,6,6,6,6,6,6,0,6,6,6,6,0,6,6,6,0
user301,3,0,3,3,3,3,3,3,3,0,0,3,3,3,3,3
user302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user305,10,10,10,10,10,0,10,0,10,0,10,10,10,0,10,10
user306,9,9,0,0,9,0,9,9,9,9,0,9,0,9,9,9
user307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user308,4,4,0,4,4,4,4,4,0,4,4,4,4,4,4,4
user309,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
user310,4,0,0,0,4,4,4,4,4,4,4,4,4,4,4,0
user311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user314,0,9,0,9,0,9,0,9,9,9,9,9,0,0,9,9
user315,8,0,8,8,8,8,8,8,0,8,8,8,8,8,8,0
user316,4,4,4,4,0,0,4,4,4,0,4,4,4,4,4,0
user317,0,6,6,6,0,6,6,6,0,6,6,6,6,6,6,6
user318,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
user319,4,4,4,0,4,4,4,4,4,4,0,0,4,4,0,4
user320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user321,0,0,10,10,0,10,10,10,10,10,10,10,0,10,10,10
user322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user323,6,6,6,6,6,0,0,0,6,6,6,6,6,6,6,6
user324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user325,0,0,3,3,3,3,3,3,3,3,3,3,0,3,3,0
user326,4,4,4,4,4,4,4,0,4,4,4,4,0,4,4,4
user327,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0
user328,4,4,4,4,4,4,0,0,4,0,4,0,0,4,4,4
user329,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,0
user330,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1
user331,4,4,0,4,4,4,4,4,4,0,4,4,4,4,4,4
user332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user333,3,3,0,3,3,3,3,0,3,3,0,3,3,3,3,3
user334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user335,8,8,0,8,8,8,0,0,8,0,8,8,0,8,8,8
user336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user337,0,8,8,8,0,8,0,8,8,8,8,0,8,8,8,8
user338,8,0,8,0,8,0,8,8,8,8,8,8,8,8,8,8
user339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user343,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7
user344,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1
user345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user346,9,9,9,9,9,9,0,9,9,9,9,9,9,9,9,9
user347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user348,2,0,2,0,2,0,2,2,2,2,0,2,2,0,2,2
user349,2,2,0,2,2,2,0,2,0,2,0,2,2,2,2,0
user350,3,3,0,0,3,0,3,0,0,0,3,3,3,3,3,3
user351,3,3,3,3,3,3,3,3,3,0,0,0,3,3,3,3
user352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user354,0,5,5,0,5,5,5,5,0,5,0,5,5,5,5,5
user355,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
user356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user357,6,6,6,6,6,6,0,6,6,6,6,6,6,6,6,6
user358,8,8,0,0,8,8,8,8,8,8,8,8,8,8,8,8
user359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user360,5,0,5,0,5,5,0,5,5,0,5,0,5,5,5,5
user361,0,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3
user362,5,0,5,5,5,5,0,5,5,0,5,5,5,5,5,5
user363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user364,10,10,10,10,10,10,0,10,10,10,0,10,10,10,10,10
user365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user367,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
user368,0,2,0,0,2,2,2,2,2,2,2,2,0,2,2,2
user369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user370,9,9,9,9,9,9,9,0,9,0,9,9,9,9,9,9
user371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user372,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
user373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user375,10,10,10,10,10,0,0,0,10,10,10,0,10,10,10,10
user376,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
user377,8,8,8,0,8,8,8,8,8,8,8,8,8,8,8,8
user378,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0
user379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user383,0,0,8,8,8,8,0,8,8,8,8,8,8,8,8,8
user384,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
user385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user386,2,2,0,2,0,0,2,0,0,0,0,2,2,2,2,2
user387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user388,2,2,0,2,0,0,2,2,2,2,0,2,2,2,0,2
user389,9,9,9,9,9,9,9,9,9,9,0,9,9,9,9,9
user390,3,3,3,3,3,3,3,3,3,3,0,3,0,3,3,3
user391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
user392,5,5,5,0,5,0,5,5,5,5,5,5,5,5,5,0
user393,6,6,6,0,6,6,6,6,6,6,6,0,6,0,6,6
user394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
